grapheme	phoneme
กินไข่แดง	k i n ˧ . kʰ aj ˨˩ . d ɛː ŋ ˧
จำเป็น	t͡ɕ a m ˧ . p e n ˧
ปวยร์โตริโก	p ua̯j ˧ . t oː ˧ . r i ˦˥ . k oː ˥˩
ทันใด	tʰ a n ˧ . d aj ˧
กรีซ	k r iː s ˨˩
นามานุประโยค	n aː ˧ . m aː ˧ . n u ˦˥ . p r a ˨˩ . j oː k̚ ˨˩
นายกฯ	n aː ˧ . j o k̚ ˦˥
คว้าน	kʰ w aː n ˦˥
นักภูมิศาสตร์	n a k̚ ˦˥ . pʰ uː ˧ . m i ˦˥ . s aː t̚ ˨˩
หน้ากาก	n aː ˥˩ . k aː k̚ ˨˩
ที่เก้า	tʰ iː ˥˩ . k aw ˥˩
โอรส	ʔ oː ˧ . r o t̚ ˦˥
ฟัง	f a ŋ ˧
กระหาย	k r a ˨˩ . h aːj ˩˩˦
ประชด	p r a ˨˩ . t͡ɕʰ o t̚ ˦˥
จุลินทรีย์	t͡ɕ u ˨˩ . l i n ˧ . s iː ˧
ซิกมา	s i k̚ ˦˥ . m aː ˥˩
จองศาลา	t͡ɕ ɔː ŋ ˧ . s aː ˩˩˦ . l aː ˧
แม่นาง	m ɛː ˥˩ . n aː ŋ ˧
ม่านตา	m aː n ˥˩ . t aː ˧
ปะ	p aʔ ˨˩
พล	pʰ o n ˧ . l a ˦˥ .
ลูกเสือ	l uː k̚ ˥˩ . s ɯa̯ ˩˩˦
ถีบ	tʰ iː p̚ ˨˩
ปิ่นโต	p i n ˨˩ . t oː ˧
กระท้อน	k r a ˨˩ . tʰ ɔː n ˦˥
แทง	tʰ ɛ ŋ ˧
คำใต้	kʰ a m ˧ . t aːj ˥˩
พอง	pʰ ɔ ŋ ˧
ไอร์แลนด์	ʔ aj ˧ . l ɛː n ˧
โลงหิน	l oː ŋ ˧ . h i n ˩˩˦
ดินสอสี	d i n ˧ . s ɔː ˩˩˦ . s iː ˩˩˦
หมอนวด	m ɔː ˩˩˦ . n ua̯ t̚ ˥˩
ด้อย	d ɔj ˥˩
ดี	d iː ˧
สัทอักษรสากล	s a t̚ ˨˩ . tʰ a ˦˥ . ʔ a k̚ ˨˩ . s ɔː n ˩˩˦ . s aː ˩˩˦ . k o n ˧
จันทรุปราคา	t͡ɕ a n ˧ . tʰ r u ˦˥ . p a ˨˩ . r aː ˧ . kʰ aː ˧
ตกผลึก	t o k̚ ˨˩ . pʰ a ˨˩ . lɯ k̚ ˨˩
สาธารณรัฐ	s aː ˩˩˦ . tʰ aː ˧ . r a ˧ . n a ˦˥ . r a t̚ ˦˥
กระสะ	k r a ˨˩ . s aʔ ˨˩
นักเปียโน	n a k̚ ˦˥ . p ia̯ ˧ . n oː ˧
ปาน	p aː ˧ . n a ˦˥ .
ดีด	d iː t̚ ˨˩
อะไร	ʔ a ˨˩ . r aj ˧
สัมภเวสี	s a m ˩˩˦ . pʰ a ˦˥ . w eː ˧ . s iː ˩˩˦
จุลศักราช	t͡ɕ u n ˧ . l a ˦˥ . s a k̚ ˨˩ . k a ˨˩ . r aː t̚ ˨˩
แอนดรอยด์	ʔ ɛː n ˧ . d r ɔːj ˧
หมดไฟ	m o t̚ ˨˩ . f aj ˧
ทรงพระกรุณา	s o ŋ ˧ . pʰ r a ˦˥ . k a ˨˩ . r u ˦˥ . n aː ˧
มกราคม	m o k̚ ˦˥ . k a ˨˩ . r aː ˧ . kʰ o m ˧
สีข้าง	s iː ˩˩˦ . kʰ aː ŋ ˥˩
การอภิบาล	k aː n ˧ . ʔ a ˨˩ . pʰ i ˦˥ . b aː n ˧
ฟาสซิสต์	f aː t̚ ˦˥ . s i t̚ ˦˥
บรรจบ	b a n ˧ . t͡ɕ o p̚ ˨˩
ปาเลสไตน์	p aː ˧ . l eː s ˦˥ . t aːj ˧
ชาด	t͡ɕʰ aː t̚ ˦˥
กันนฑะ	k a n ˧ . n a ˦˥ . tʰ aʔ ˦˥
เขียว	kʰ ia̯w ˩˩˦
แหล่งจ่ายไฟ	l ɛ ŋ ˨˩ . t͡ɕ aːj ˨˩ . f aj ˧
สามเหลี่ยมมุมแหลม	s aː m ˩˩˦ . l ia̯ m ˨˩ . m u m ˧ . l ɛː m ˩˩˦
ฝันร้าย	f a n ˩˩˦ . r aːj ˦˥
เม่นทะเล	m e n ˥˩ . tʰ a ˦˥ . l eː ˧
ค่าน้ำร้อนน้ำชา	kʰ aː ˥˩ . n aː m ˦˥ . r ɔː n ˦˥ . n aː m ˦˥ . t͡ɕʰ aː ˧
อียิปต์	ʔ iː ˧ . j i p̚ ˨˩
พิชิต	pʰ i ˦˥ . t͡ɕʰ i t̚ ˦˥ . t a ˨˩ .
ขมุ	kʰ a ˨˩ . m u ʔ ˨˩
ทรงสิบสองหน้า	s o ŋ ˧ . s i p̚ ˨˩ . s ɔː ŋ ˩˩˦ . n aː ˥˩
กามโรค	k aː m ˧ . m a ˦˥ . r oː k̚ ˥˩
ดล	d o n ˧ . l a ˦˥ .
จอน	t͡ɕ ɔː n ˧
การฝังเข็ม	k aː n ˧ . f a ŋ ˩˩˦ . kʰ e m ˩˩˦
ห้องเพดาน	h ɔ ŋ ˥˩ . pʰ eː ˧ . d aː n ˧
สมการ	s a ˨˩ . m a ˦˥ . k aː n ˧
ไข้หวัด	kʰ aj ˥˩ . w a t̚ ˨˩
เมือก	m ɯa̯ k̚ ˥˩
เปรอ	p r ɤː ˧
คณิตศาสตร์	kʰ a ˦˥ . n i t̚ ˦˥ . t a ˨˩ . s aː t̚ ˨˩
การรีดไถ	k aː n ˧ . r iː t̚ ˥˩ . tʰ aj ˩˩˦
ปรัสเซีย	p r a t̚ ˨˩ . s ia̯ ˧
อาจจะ	ʔ aː t̚ ˨˩ . t͡ɕ aʔ ˨˩
เดา	d aw ˧
รวง	r ua̯ ŋ ˧
ประสูติ	p r a ˨˩ . s uː ˩˩˦ . t i ˨˩ .
สันดร	s a n ˩˩˦ . d ɔː n ˧
อัปลักษณ์	ʔ a p̚ ˨˩ . p a ˨˩ . l a k̚ ˦˥
ปัญหา	p a n ˧ . h aː ˩˩˦
การดู	k aː n ˧ . d uː ˧
ส่งผู้ร้ายข้ามแดน	s o ŋ ˨˩ . pʰ uː ˥˩ . r aːj ˦˥ . kʰ aː m ˥˩ . d ɛː n ˧
เรื่องสั้น	rɯ a̯ ŋ ˥˩ . s a n ˥˩
ทิวทัศน์	tʰ iw ˧ . tʰ a t̚ ˦˥
ศาลา	s aː ˩˩˦ . l aː ˧
กระยาหาร	k r a ˨˩ . j aː ˧ . h aː n ˩˩˦
มอนเตเนโกร	m ɔː n ˧ . t eː ˧ . n eː ˧ . k r oː ˧
แป้น	p ɛ n ˥˩
ซาฮาลิน	s aː ˧ . h aː ˧ . l i n ˧
เถาวัลย์	tʰ aw ˩˩˦ . w a n ˧
ไปมา	p aj ˧ . m aː ˧
วีรกรรม	w iː ˧ . r a ˦˥ . k a m ˧
ทุเรียน	tʰ u ˦˥ . r ia̯ n ˧
โรคเหตุอาชีพ	r oː k̚ ˥˩ . h eː t̚ ˨˩ . ʔ aː ˧ . t͡ɕʰ iː p̚ ˥˩
ได้หน้า	d aːj ˥˩ . n aː ˥˩
วานาเดียม	w aː ˧ . n aː ˧ . d ia̯ m ˥˩
เบลเยียม	b eː l ˧ . j ia̯ m ˥˩
สะบาโต	s a ˨˩ . b aː ˧ . t oː ˧
ตุลา	t u ˨˩ . l aː ˧
ภายใน	pʰ aːj ˧ . n aj ˧
แสงวาบรังสีแกมมา	s ɛː ŋ ˩˩˦ . w aː p̚ ˥˩ . r a ŋ ˧ . s iː ˩˩˦ . k ɛː m ˧ . m aː ˥˩
โรงเตี๊ยม	r oː ŋ ˧ . t ia̯ m ˦˥
เครื่องสูบ	kʰ rɯ a̯ ŋ ˥˩ . s uː p̚ ˨˩
โรงสี	r oː ŋ ˧ . s iː ˩˩˦
กั้ง	k a ŋ ˥˩
กสิกร	k a ˨˩ . s i ˨˩ . k ɔː n ˧
ซับซ้อน	s a p̚ ˦˥ . s ɔː n ˦˥
อัยกี	ʔ aj ˧ . j a ˦˥ . k iː ˧
หอยเชลล์	h ɔj ˩˩˦ . t͡ɕʰ e l ˧
ผาสุก	pʰ aː ˩˩˦ . s u k̚ ˨˩
เต็มใจ	t e m ˧ . t͡ɕ aj ˧
ความสะดวก	kʰ w aː m ˧ . s a ˨˩ . d ua̯ k̚ ˨˩
การวิปลาส	k aː n ˧ . w i ˦˥ . p a ˨˩ . l aː t̚ ˥˩
พอดคาสต์	pʰ ɔː t̚ ˨˩ . kʰ aː t̚ ˦˥
เดลี	d eː ˧ . l iː ˧
สหราชอาณาจักรเกรตบริเตนและนอร์เทิร์นไอร์แลนด์	s a ˨˩ . h a ˨˩ . r aː t̚ ˥˩ . t͡ɕʰ a ˦˥ . ʔ aː ˧ . n aː ˧ . t͡ɕ a k̚ ˨˩ . k r eː t̚ ˦˥ . b r i ˨˩ . t eː n ˧ . l ɛʔ ˦˥ . n ɔ t̚ ˦˥ . tʰ ɤ n ˥˩ . ʔ aj ˧ . l ɛ n ˥˩
บุรุษไปรษณีย์	b u ˨˩ . r u t̚ ˨˩ . p r aj ˧ . s a ˨˩ . n iː ˧
สายป่าน	s aːj ˩˩˦ . p aː n ˨˩
มหายาน	m a ˦˥ . h aː ˩˩˦ . j aː n ˧
แคะ	kʰ ɛʔ ˦˥
พอเพียง	pʰ ɔː ˧ . pʰ ia̯ ŋ ˧
ดอล	d ɔ n ˧
กบในกะลาครอบ	k o p̚ ˨˩ . n aj ˧ . k a ˨˩ . l aː ˧ . kʰ r ɔː p̚ ˥˩
พักผ่อน	pʰ a k̚ ˦˥ . pʰ ɔ n ˨˩
อามิส	ʔ aː ˧ . m i t̚ ˦˥
เครื่องซักผ้า	kʰ rɯ a̯ ŋ ˥˩ . s a k̚ ˦˥ . pʰ aː ˥˩
การประหาร	k aː n ˧ . p r a ˨˩ . h aː n ˩˩˦
โปง	p o ŋ
ใบเลี้ยง	b aj ˧ . l ia̯ ŋ ˦˥
สะเอว	s a ˨˩ . ʔ eːw ˧
วิดีโอ	w i ˦˥ . d iː ˧ . ʔ oː ˧
เพลา	pʰ l aw ˧
ชนกลุ่มน้อย	t͡ɕʰ o n ˧ . k l u m ˨˩ . n ɔːj ˦˥
บ.	b ɔː ˧
องครักษ์	ʔ o ŋ ˧ . kʰ a ˦˥ . r a k̚ ˦˥
เกล้ากระผม	k l aːw ˥˩ . k r a ˨˩ . pʰ o m ˩˩˦
หนวกหู	n ua̯ k̚ ˨˩ . h uː ˩˩˦
ไซร้	s aj ˦˥
อมยิ้ม	ʔ o m ˧ . j i m ˦˥
เปิ่น	p ɤ n ˨˩
ถั่วพู	tʰ ua̯ ˨˩ . pʰ uː ˧
อ๋อง	ʔ ɔ ŋ ˩˩˦
ขนนก	kʰ o n ˩˩˦ . n o k̚ ˦˥
ภูมิศาสตร์การเมือง	pʰ uː ˧ . m i ˦˥ . s aː t̚ ˨˩ . k aː n ˧ . m ɯa̯ ŋ ˧
กล้องถ่ายภาพ	k l ɔ ŋ ˥˩ . tʰ aːj ˨˩ . pʰ aː p̚ ˥˩
กบาล	k a ˨˩ . b aː n ˧
หยูก	j uː k̚ ˨˩
มณีปุระ	m a ˦˥ . n iː ˧ . p u ˨˩ . r aʔ ˦˥
กระดานโต้คลื่น	k r a ˨˩ . d aː n ˧ . t oː ˥˩ . kʰ lɯː n ˥˩
ลงแขก	l o ŋ ˧ . kʰ ɛː k̚ ˨˩
หน้าใหญ่ใจโต	n aː ˥˩ . j aj ˨˩ . t͡ɕ aj ˧ . t oː ˧
ตรรกศาสตร์	t a k̚ ˨˩ . k a ˨˩ . s aː t̚ ˨˩
ธารน้ำแข็ง	tʰ aː n ˧ . n aː m ˦˥ . kʰ ɛ ŋ ˩˩˦
สีชอล์ก	s iː ˩˩˦ . t͡ɕʰ ɔ k̚ ˦˥
ชีวประวัติ	t͡ɕʰ iː ˧ . w a ˦˥ . p r a ˨˩ . w a t̚ ˨˩
ลื่น	lɯː n ˥˩
จี	t͡ɕ iː ˧
สลายตัว	s a ˨˩ . l aːj ˩˩˦ . t ua̯ ˧
วัลเลตตา	w a l ˧ . l e t̚ ˦˥ . t aː ˥˩
โรคนอนไม่หลับ	r oː k̚ ˥˩ . n ɔː n ˧ . m aj ˥˩ . l o p̚ ˨˩
เร็ว	r ew ˧
อุบัติ	ʔ u ˨˩ . b a t̚ ˨˩ . t i ˨˩ .
ภัณฑ์	pʰ a n ˧
กำยำ	k a m ˧ . j a m ˧
ดัชต์	d a t͡ɕʰ ˦˥
กาว	k aːw ˧
สัตว์เลี้ยง	s a t̚ ˨˩ . l ia̯ ŋ ˦˥
ผู้ละทิ้ง	pʰ uː ˥˩ . l a ˦˥ . tʰ i ŋ ˦˥
มุ่งร้าย	m u ŋ ˥˩ . r aːj ˦˥
แคเมอรูน	kʰ ɛː ˧ . m ɤː ˧ . r uː n ˧
เห็ด	h e t̚ ˨˩
โลกคู่ขนาน	l oː k̚ ˥˩ . kʰ uː ˥˩ . kʰ a ˨˩ . n aː n ˩˩˦
การณ์	k aː n ˧
ผู้ป่วย	pʰ uː ˥˩ . p ua̯j ˨˩
ยม	j o m ˧ . m a ˦˥ .
เที่ยวบิน	tʰ ia̯w ˥˩ . b i n ˧
อรุโณทัย	ʔ a ˨˩ . r u ˦˥ . n oː ˧ . tʰ aj ˧
กีตาร์	k iː ˧ . t aː ˥˩
หมอผี	m ɔː ˩˩˦ . pʰ iː ˩˩˦
ดินหางยาว	d i n ˧ . h aː ŋ ˩˩˦ . j aːw ˧
เหล็ก	l e k̚ ˨˩
ซาฮาราตะวันตก	s aː ˧ . h aː ˧ . r aː ˧ . t a ˨˩ . w a n ˧ . t o k̚ ˨˩
ดินแดนในภาวะทรัสตี	d i n ˧ . d ɛː n ˧ . n aj ˧ . pʰ aː ˧ . w a ˦˥ . tʰ r a s ˦˥ . t iː ˧
กำพร้า	k a m ˧ . pʰ r aː ˦˥
เขมร	kʰ a ˨˩ . m eː n ˩˩˦
ธาตุ	tʰ aː t̚ ˥˩
เกา	k aw ˧
มนุษย	m a ˦˥ . n u t̚ ˦˥ . s a ˨˩ .
คูถ	kʰ uː t̚ ˥˩
ซีลีเนียม	s iː ˧ . l iː ˧ . n ia̯ m ˥˩
ประโยคย่อย	p r a ˨˩ . j oː k̚ ˨˩ . j ɔj ˥˩
แฮม	h ɛ m ˧
นักสัตว	n a k̚ ˦˥ . s a t̚ ˨˩
เป็นใจ	p e n ˧ . t͡ɕ aj ˧
ขุนทอง	kʰ u n ˩˩˦ . tʰ ɔː ŋ ˧
นมัสการ	n a ˦˥ . m a t̚ ˦˥ . s a ˨˩ . k aː n ˧
คำฟ้อง	kʰ a m ˧ . f ɔː ŋ ˦˥
สฤคาล	s r i ˨˩ . kʰ aː n ˧
วัฒน	w a t̚ ˦˥ . tʰ a ˦˥ . n a ˦˥ .
กู้ภัย	k uː ˥˩ . pʰ aj ˧
ทองหลาง	tʰ ɔː ŋ ˧ . l aː ŋ ˩˩˦
การคร่า	k aː n ˧ . kʰ r aː ˥˩
ไรแว๊	r aj ˧ . w ɛː ˦˥
สงัด	s a ˨˩ . ŋ a t̚ ˨˩
ก้อนหิน	k ɔː n ˥˩ . h i n ˩˩˦
ปฏิกิริยาเคมี	p a ˨˩ . t i ˨˩ . k i ˨˩ . r i ˦˥ . j aː ˧ . kʰ eː ˧ . m iː ˧
อ่าวไทย	ʔ aːw ˨˩ . tʰ aj ˧
เอสวาตีนี	ʔ e t̚ ˨˩ . s a ˨˩ . w aː ˧ . t iː ˧ . n iː ˧
มอสส์	m ɔː s ˦˥
แคร็กเกอร์	kʰ r ɛ k̚ ˦˥ . k ɤː ˥˩
การชี้แจง	k aː n ˧ . t͡ɕʰ iː ˦˥ . t͡ɕ ɛː ŋ ˧
เสรีนิยม	s eː ˩˩˦ . r iː ˧ . n i ˦˥ . j o m ˧
บอตสวานา	b ɔː t̚ ˦˥ . s a ˨˩ . w aː ˧ . n aː ˥˩
เห็นแก่ตัว	h e n ˩˩˦ . k ɛː ˨˩ . t ua̯ ˧
โนเบเลียม	n oː ˧ . b eː ˧ . l ia̯ m ˥˩
ประกาศนียบัตร	p r a ˨˩ . k aː ˧ . s a ˨˩ . n iː ˧ . j a ˦˥ . b a t̚ ˨˩
ยาเสพย์ติด	j aː ˧ . s eː p̚ ˨˩ . t i t̚ ˨˩
นิ้วชี้	n iw ˦˥ . t͡ɕʰ iː ˦˥
อุปัชฌาย	ʔ u ˨˩ . p a t̚ ˨˩ . t͡ɕʰ aː ˧ . j a ˦˥ .
เครื่องปรุงรส	kʰ rɯ a̯ ŋ ˥˩ . p r u ŋ ˧ . r o t̚ ˦˥
ผ้ากันเปื้อน	pʰ aː ˥˩ . k a n ˧ . p ɯa̯ n ˥˩
มารวิชัย	m aː n ˧ . w i ˦˥ . t͡ɕʰ aj ˧
เนื้อเยื่อ	n ɯa̯ ˦˥ . j ɯa̯ ˥˩
กิน	k i n ˧
คชา	kʰ a ˦˥ . t͡ɕʰ aː ˧
เต้าหู้	t aw ˥˩ . h uː ˥˩
วางมวย	w aː ŋ ˧ . m ua̯j ˧
ธวัช	tʰ a ˦˥ . w a t̚ ˦˥
ผอม	pʰ ɔː m ˩˩˦
ต้องการ	t ɔ ŋ ˥˩ . k aː n ˧
กลอุบาย	k o n ˧ . ʔ u ˨˩ . b aːj ˧
สิว	s iw ˩˩˦
บาสเกตบอล	b aː t̚ ˦˥ . s a ˨˩ . k e t̚ ˦˥ . b ɔ n ˧
สายโลหิต	s aːj ˩˩˦ . l oː ˧ . h i t̚ ˨˩
โรหิณี	r oː ˧ . h i ˨˩ . n iː ˧
กระสวน	k r a ˨˩ . s ua̯ n ˩˩˦
ว่าราชการ	w aː ˥˩ . r aː t̚ ˥˩ . t͡ɕʰ a ˦˥ . k aː n ˧
นำพา	n a m ˧ . pʰ aː ˧
ข้อผูกมัด	kʰ ɔː ˥˩ . pʰ uː k̚ ˨˩ . m a t̚ ˦˥
ความย้อนแย้ง	kʰ w aː m ˧ . j ɔː n ˦˥ . j ɛː ŋ ˦˥
ดีบุก	d iː ˧ . b u k̚ ˨˩
ความดำ	kʰ w aː m ˧ . d a m ˧
ปริ้นท์	p r i n ˥˩
หรือยัง	rɯː ˩˩˦ . j a ŋ ˧
ซึง	s ɯ ŋ ˧
ขัน	kʰ a n ˩˩˦
กรุงเทพ	k r u ŋ ˧ . tʰ eː p̚ ˥˩
ความโหดเหี้ยม	kʰ w aː m ˧ . h oː t̚ ˨˩ . h ia̯ m ˥˩
ไซ่ง่อน	s aj ˥˩ . ŋ ɔ n ˥˩
นักแสดงพากย์	n a k̚ ˦˥ . s a ˨˩ . d ɛː ŋ ˧ . pʰ aː k̚ ˥˩
ลงชื่อ	l o ŋ ˧ . t͡ɕʰ ɯː ˥˩
ทดลอง	tʰ o t̚ ˦˥ . l ɔː ŋ ˧
แถน	tʰ ɛː n ˩˩˦
เนติบริกร	n eː ˧ . t i ˨˩ . b ɔː ˧ . r i ˦˥ . k ɔː n ˧
ลูกดอก	l uː k̚ ˥˩ . d ɔː k̚ ˨˩
ปราการ	p r aː ˧ . k aː n ˧
ผู้สืบสันดาน	pʰ uː ˥˩ . s ɯː p̚ ˨˩ . s a n ˩˩˦ . d aː n ˧
ท่องจำ	tʰ ɔ ŋ ˥˩ . t͡ɕ a m ˧
อุดมการณ์	ʔ u ˨˩ . d o m ˧ . k aː n ˧
บาร์เบโดส	b aː ˧ . b eː ˧ . d oː t̚ ˦˥
ดับบลิว	d a p̚ ˨˩ . b l iw ˧
เหรียญ	r ia̯ n ˩˩˦
ทุ่น	tʰ u n ˥˩
น่าไว้ใจ	n aː ˥˩ . w aj ˦˥ . t͡ɕ aj ˧
ยึกยัก	j ɯ k̚ ˦˥ . j a k̚ ˦˥
นักประวัติศาสตร์	n a k̚ ˦˥ . p r a ˨˩ . w a t̚ ˨˩ . t i ˨˩ . s aː t̚ ˨˩
อัมสเตอร์ดัม	ʔ a m ˧ . s a ˨˩ . t ɤː ˧ . d a m ˧
ข้าวขาหมู	kʰ aːw ˥˩ . kʰ aː ˩˩˦ . m uː ˩˩˦
หมาบ้าน	m aː ˩˩˦ . b aː n ˥˩
น้อม	n ɔː m ˦˥
เท้าความ	tʰ aːw ˦˥ . kʰ w aː m ˧
ศรวณะ	s a ˨˩ . r a ˦˥ . w a ˦˥ . n aʔ ˦˥
เมษ	m eː t̚ ˥˩ . s a ˨˩ .
วิงวอน	w i ŋ ˧ . w ɔː n ˧
ความจุ	kʰ w aː m ˧ . t͡ɕ u ʔ ˨˩
การหัวเราะ	k aː n ˧ . h ua̯ ˩˩˦ . r ɔʔ ˦˥
พ่อบ้าน	pʰ ɔː ˥˩ . b aː n ˥˩
ลอย	l ɔːj ˧
สมัย	s a ˨˩ . m aj ˩˩˦
สิบสองปันนา	s i p̚ ˨˩ . s ɔː ŋ ˩˩˦ . p a n ˧ . n aː ˧
สับ	s a p̚ ˨˩
หอคอยงาช้าง	h ɔː ˩˩˦ . kʰ ɔːj ˧ . ŋ aː ˧ . t͡ɕʰ aː ŋ ˦˥
ทุระยศ	tʰ u ˦˥ . r a ˦˥ . j o t̚ ˦˥
การส่งไม้ต่อ	k aː n ˧ . s o ŋ ˨˩ . m aːj ˦˥ . t ɔː ˨˩
แอลฟา	ʔ ɛː l ˧ . f aː ˥˩
การยืน	k aː n ˧ . j ɯː n ˧
การละอาย	k aː n ˧ . l a ˦˥ . ʔ aːj ˧
สาย	s aːj ˩˩˦
ลิด	l i t
โอ๊ต	ʔ oː t̚ ˦˥
อภิเษก	ʔ a ˨˩ . pʰ i ˦˥ . s eː k̚ ˨˩
ขัณฑสกร	kʰ a n ˩˩˦ . tʰ o t̚ ˦˥ . s a ˨˩ . k ɔː n ˧
เคารพ	kʰ aw ˧ . r o p̚ ˦˥
สมบูรณาญาสิทธิราชย์	s o m ˩˩˦ . b uː ˧ . r a ˦˥ . n aː ˧ . j aː ˧ . s i t̚ ˨˩ . tʰ i ˦˥ . r aː t̚ ˥˩
ออกเรือน	ʔ ɔː k̚ ˨˩ . rɯ a̯ n ˧
ผ้าปูโต๊ะ	pʰ aː ˥˩ . p uː ˧ . t oʔ ˦˥
ผีเสื้อราตรี	pʰ iː ˩˩˦ . s ɯa̯ ˥˩ . r aː ˧ . t r iː ˧
เพียบ	pʰ ia̯ p̚ ˥˩
ปรมราชาธิราช	p a ˨˩ . r o m ˧ . r aː ˧ . t͡ɕʰ aː ˧ . tʰ i ˦˥ . r aː t̚ ˥˩
ความอัปยศ	kʰ w aː m ˧ . ʔ a p̚ ˨˩ . p a ˨˩ . j o t̚ ˦˥
ถังแตก	tʰ a ŋ ˩˩˦ . t ɛː k̚ ˨˩
ไส้กรอก	s aj ˥˩ . k r ɔː k̚ ˨˩
รน	r o n ˧
กลายพันธุ์	k l aːj ˧ . pʰ a n ˧
มุ่งหน้า	m u ŋ ˥˩ . n aː ˥˩
ข้าวฟ่าง	kʰ aːw ˥˩ . f aː ŋ ˥˩
พรุ่ง	pʰ r u ŋ ˥˩
ครอง	kʰ r ɔː ŋ ˧
ต้มข่า	t o m ˥˩ . kʰ aː ˨˩
สายการบิน	s aːj ˩˩˦ . k aː n ˧ . b i n ˧
ความสับสน	kʰ w aː m ˧ . s a p̚ ˨˩ . s o n ˩˩˦
สรเสริญ	s r a ˨˩ . s ɤː n ˩˩˦
พะยะค่ะ	pʰ a ˦˥ . j a ˦˥ . kʰ aʔ ˥˩
ไอโอ	ʔ aj ˧ . ʔ oː ˧
ทอดมัน	tʰ ɔː t̚ ˥˩ . m a n ˧
เพื่อนคู่ใจ	pʰ ɯa̯ n ˥˩ . kʰ uː ˥˩ . t͡ɕ aj ˧
เยียวยา	j ia̯w ˧ . j aː ˧
วัตถุดิบ	w a t̚ ˦˥ . tʰ u ˨˩ . d i p̚ ˨˩
พิกุล	pʰ i ˦˥ . k u n ˧
สัตยาบัน	s a t̚ ˨˩ . t a ˨˩ . j aː ˧ . b a n ˧
ถนน	tʰ a ˨˩ . n o n ˩˩˦
ศรดำ	s ɔː n ˩˩˦ . d a m ˧
คำแนะนำ	kʰ a m ˧ . n ɛʔ ˦˥ . n a m ˧
ยี่สิบสี่	j iː ˥˩ . s i p̚ ˨˩ . s iː ˨˩
กาลี	k aː ˧ . l iː ˧
ตี	t iː ˧
มรณสัน	m ɔː ˧ . r a ˦˥ . n a ˦˥ . s a n ˩˩˦
ทหารเรือ	tʰ a ˦˥ . h aː n ˩˩˦ . rɯ a̯ ˧
รอย	r ɔːj ˧
ซีตา	s iː ˧ . t aː ˥˩
ส้วม	s ua̯ m ˥˩
แล้วเสร็จ	l ɛːw ˦˥ . s e t̚ ˨˩
พลุ	pʰ l u ʔ ˦˥
โยโย่	j oː ˧ . j oː ˥˩
เศรษฐ	s eː t̚ ˨˩ . tʰ a ˨˩ .
หอคอย	h ɔː ˩˩˦ . kʰ ɔːj ˧
เคานต์	kʰ aw ˦˥
สุชาต	s u ˨˩ . t͡ɕʰ aː t̚ ˥˩
มาร	m aː n ˧ . r a ˦˥ .
ลแวก	l a ˦˥ . w ɛː k̚ ˥˩
ลังถึง	l a ŋ ˧ . tʰ ɯ ŋ ˩˩˦
นัดหมาย	n a t̚ ˦˥ . m aːj ˩˩˦
แถบ	tʰ ɛː p̚ ˨˩
เพดาน	pʰ eː ˧ . d aː n ˧
เขื่อน	kʰ ɯa̯ n ˨˩
ละเลย	l a ˦˥ . l ɤːj ˧
มรณะ	m ɔː ˧ . r a ˦˥ . n aʔ ˦˥
เก๊ก	k e k̚ ˦˥
หินโคลน	h i n ˩˩˦ . kʰ l oː n ˧
ขนม	kʰ a ˨˩ . n o m ˩˩˦
สงครามกลางเมือง	s o ŋ ˩˩˦ . kʰ r aː m ˧ . k l aː ŋ ˧ . m ɯa̯ ŋ ˧
กุญแจ	k u n ˧ . t͡ɕ ɛː ˧
ขนบ	kʰ a ˨˩ . n o p̚ ˨˩
เครื่องฉายดาว	kʰ rɯ a̯ ŋ ˥˩ . t͡ɕʰ aːj ˩˩˦ . d aːw ˧
เสือร้องไห้	s ɯa̯ ˩˩˦ . r ɔː ŋ ˦˥ . h aːj ˥˩
จำนง	t͡ɕ a m ˧ . n o ŋ ˧
เฝ้า	f aw ˥˩
เตาอบ	t aw ˧ . ʔ o p̚ ˨˩
ผู้จัดการ	pʰ uː ˥˩ . t͡ɕ a t̚ ˨˩ . k aː n ˧
สมเด็จพระราชาคณะ	s o m ˩˩˦ . d e t̚ ˨˩ . pʰ r a ˦˥ . r aː ˧ . t͡ɕʰ aː ˧ . kʰ a ˦˥ . n aʔ ˦˥
เรือนหอ	rɯ a̯ n ˧ . h ɔː ˩˩˦
ใกล้เคียง	k l aj ˥˩ . kʰ ia̯ ŋ ˧
เพกาซัส	pʰ eː ˧ . k aː ˧ . s a s ˦˥
โฆษณา	kʰ oː ˧ . s a ˨˩ . n aː ˧
กินนร	k i n ˧ . n ɔː n ˧
เอร็ดอร่อย	ʔ a ˨˩ . r e t̚ ˨˩ . ʔ a ˨˩ . r ɔj ˨˩
หมวกเกราะ	m ua̯ k̚ ˨˩ . k r ɔʔ ˨˩
กรัม	k r a m ˧
บรรยาย	b a n ˧ . j aːj ˧
รีม	r iː m ˧
ชวา	t͡ɕʰ a ˦˥ . w aː ˧
แมส	m ɛː t̚ ˦˥
เกตุ	k eː t̚ ˨˩
วันฉลองครบรอบ	w a n ˧ . t͡ɕʰ a ˨˩ . l ɔː ŋ ˩˩˦ . kʰ r o p̚ ˦˥ . r ɔː p̚ ˥˩
บรรพ	b a n ˧ . pʰ a ˦˥ .
